iter	Passed	Remaining
230	9260	14110
231	9299	14070
232	9339	14028
233	9380	13990
234	9419	13949
235	9460	13909
236	9499	13868
237	9538	13827
238	9578	13787
239	9618	13746
240	9659	13707
241	9698	13666
242	9738	13626
243	9778	13586
244	9818	13545
245	9860	13508
246	9899	13467
247	9940	13428
248	9982	13389
249	10027	13356
250	10067	13315
251	10106	13275
252	10146	13234
253	10186	13193
254	10226	13154
255	10265	13112
256	10303	13069
257	10342	13028
258	10382	12988
259	10422	12947
260	10461	12906
261	10501	12866
262	10540	12824
263	10578	12782
264	10617	12741
265	10657	12701
266	10696	12659
267	10736	12619
268	10775	12578
269	10814	12537
270	10854	12496
271	10894	12456
272	10933	12415
273	10972	12373
274	11011	12332
275	11055	12297
276	11097	12259
277	11139	12221
278	11180	12181
279	11219	12141
280	11260	12102
281	11300	12061
282	11339	12020
283	11379	11980
284	11420	11941
285	11461	11902
286	11499	11860
287	11539	11819
288	11578	11778
289	11617	11737
290	11656	11696
291	11695	11655
292	11734	11614
293	11773	11573
294	11813	11532
295	11851	11491
296	11890	11450
297	11930	11409
298	11969	11369
299	12009	11328
300	12048	11288
301	12088	11247
302	12128	11207
303	12168	11167
304	12209	11129
305	12252	11090
306	12293	11052
307	12332	11011
308	12371	10970
309	12412	10930
310	12451	10890
311	12490	10849
312	12531	10809
313	12571	10769
314	12609	10728
315	12648	10686
316	12686	10645
317	12725	10604
318	12763	10563
319	12802	10521
320	12840	10480
321	12878	10438
322	12917	10397
323	12956	10357
324	12996	10317
325	13037	10277
326	13076	10237
327	13117	10197
328	13157	10157
329	13196	10117
330	13235	10076
331	13274	10035
332	13315	9996
333	13358	9958
334	13400	9920
335	13440	9880
336	13480	9840
337	13518	9799
338	13557	9758
339	13596	9717
340	13635	9676
341	13674	9636
342	13712	9594
343	13752	9554
344	13791	9513
345	13830	9473
346	13872	9434
347	13913	9395
348	13952	9354
349	13990	9313
350	14032	9275
351	14072	9235
352	14112	9194
353	14151	9154
354	14189	9113
355	14229	9073
356	14267	9031
357	14305	8990
358	14345	8950
359	14385	8910
360	14428	8873
361	14471	8834
362	14514	8796
363	14557	8758
364	14600	8720
365	14643	8681
366	14682	8641
367	14725	8602
368	14769	8565
369	14812	8527
370	14856	8489
371	14898	8450
372	14940	8411
373	14983	8373
374	15029	8336
375	15070	8296
376	15109	8256
377	15150	8216
378	15192	8177
379	15234	8138
380	15283	8103
381	15327	8065
382	15368	8025
383	15407	7984
384	15447	7944
385	15488	7904
386	15533	7867
387	15580	7830
388	15627	7793
389	15673	7756
390	15715	7717
391	15760	7679
392	15804	7640
393	15847	7601
394	15889	7562
395	15929	7522
396	15971	7482
397	16013	7443
398	16060	7406
399	16105	7368
400	16149	7329
401	16192	7290
402	16233	7250
403	16276	7211
404	16318	7172
405	16361	7133
406	16405	7094
407	16449	7055
408	16495	7017
409	16540	6979
410	16584	6940
411	16623	6899
412	16663	6859
413	16705	6819
414	16747	6779
415	16788	6739
416	16829	6699
417	16870	6659
418	16909	6618
419	16949	6578
420	16995	6539
421	17039	6500
422	17083	6461
423	17128	6423
424	17170	6383
425	17213	6343
426	17256	6304
427	17303	6266
428	17346	6226
429	17389	6187
430	17430	6147
431	17471	6106
432	17511	6066
433	17551	6025
434	17590	5984
435	17630	5944
436	17669	5903
437	17711	5863
438	17755	5824
439	17797	5784
440	17840	5744
441	17883	5704
442	17926	5665
443	17966	5624
444	18006	5583
445	18046	5543
446	18086	5502
447	18126	5462
448	18166	5421
449	18205	5380
450	18245	5340
451	18285	5299
452	18326	5259
453	18366	5218
454	18407	5178
455	18447	5137
456	18487	5097
457	18528	5056
458	18567	5016
459	18606	4975
460	18646	4934
461	18685	4893
462	18725	4853
463	18766	4812
464	18805	4772
465	18846	4731
466	18887	4691
467	18925	4650
468	18969	4610
469	19012	4571
470	19056	4531
471	19097	4491
472	19136	4450
473	19177	4409
474	19217	4369
475	19255	4328
476	19295	4287
477	19335	4247
478	19376	4207
479	19418	4166
480	19459	4126
481	19500	4086
482	19543	4046
483	19587	4006
484	19633	3967
485	19676	3927
486	19720	3887
487	19760	3846
488	19801	3806
489	19844	3766
490	19886	3726
491	19926	3685
492	19966	3644
493	20005	3604
494	20044	3563
495	20089	3523
496	20130	3483
497	20174	3443
498	20215	3403
499	20258	3362
500	20304	3323
501	20347	3283
502	20387	3242
503	20429	3202
504	20469	3161
505	20510	3121
506	20551	3080
507	20591	3040
508	20632	2999
509	20672	2959
510	20712	2918
511	20753	2877
512	20792	2837
513	20832	2796
514	20872	2756
515	20911	2715
516	20952	2674
517	20991	2634
518	21032	2593
519	21073	2553
520	21112	2512
521	21152	2471
522	21194	2431
523	21236	2391
524	21278	2350
525	21320	2310
526	21361	2269
527	21402	2229
528	21441	2188
529	21482	2148
530	21523	2107
531	21564	2067
532	21603	2026
533	21643	1985
534	21683	1945
535	21722	1904
536	21762	1864
537	21802	1823
538	21845	1783
539	21885	1742
540	21924	1702
541	21964	1661
542	22003	1620
543	22042	1580
544	22083	1539
545	22123	1499
546	22163	1458
547	22203	1418
548	22243	1377
549	22283	1336
550	22324	1296
551	22367	1256
552	22410	1215
553	22451	1175
554	22493	1134
555	22534	1094
556	22573	1053
557	22613	1013
558	22656	972
559	22697	932
560	22737	891
561	22782	851
562	22824	810
563	22868	770
564	22917	730
565	22969	689
566	23014	649
567	23060	608
568	23106	568
569	23147	527
570	23191	487
571	23232	446
572	23271	406
573	23314	365
574	23360	325
575	23403	284
576	23447	243
577	23491	203
578	23538	162
579	23582	121
580	23627	81
581	23671	40
582	23718	0
